subject CURIE prefix	object CURIE prefix	predicate	edge count
SEPIO	RO	biolink:subPropertyOf	4
GO	SO	biolink:related_to	66
CHEBI	CHEBI	biolink:has_part	3795
JAX	JAX	biolink:related_to	4
OBI	STATO	biolink:subclass_of	3
ENSEMBL	EcoGene	biolink:related_to	264
PR	owl	biolink:subclass_of	59
MP	HP	biolink:subclass_of	8108
OBO	ENVO	biolink:subclass_of	4
FAO	OBO	biolink:subclass_of	4
MonarchData	https	owl:versionIRI	1
WormBase	GO	biolink:enables	28231
GO	CHEBI	biolink:related_to	5698
WormBase	NCBIGene	biolink:interacts_with	283
MGI	EcoGene	biolink:orthologous_to	986
ENVO	NCBITaxon	biolink:related_to	7
GO	GO	biolink:precedes	1
OMIA	MONDO	biolink:subclass_of	1758
ECO	IAO	biolink:subclass_of	1
FBcv	ZP	biolink:subclass_of	70
Orphanet	HP	biolink:has_phenotype	95937
ECO	OBI	biolink:related_to	124
DOID	UMLS	biolink:subclass_of	13059
MGI	GO	biolink:enables	82475
HGNC	OMIM	biolink:contributes_to	843
GO	FAO	biolink:related_to	17
MONARCH_BNODE	https	biolink:part_of	29389
http	DOID	biolink:subclass_of	18439
rdf	owl	biolink:subclass_of	2
MONARCH	OMIA	biolink:has_phenotype	897
dbSNP	MONDO	biolink:related_to	111
VGNC	SGD	biolink:orthologous_to	2
CL	GO	biolink:participates_in	18
CLO	CLO	biolink:derives_from	1
http	OGMS	biolink:subclass_of	25
MONARCH_BNODE	NCBITaxon	owl:someValuesFrom	233
Orphanet	UMLS	biolink:subclass_of	13030
MGI	UBERON	biolink:expressed_in	356928
OBI	SO	biolink:subclass_of	2
OBI	MONDO	biolink:subclass_of	2
DOID	UBERON	biolink:subclass_of	1
WormBase	GO	biolink:has_phenotype	3795
OBI	BFO	biolink:subclass_of	50
ZFIN	DOID	biolink:model_of	1195
chickenQTL	chickenQTL	biolink:biomarker_for	2131
MONARCH_BNODE	MONDO	biolink:related_to	23
OBI	CHEBI	biolink:subclass_of	15
PR	GO	biolink:capable_of	14
FlyBase	HGNC	biolink:interacts_with	42
foaf	dcterms	biolink:subclass_of	4
GO	NCBITaxon	biolink:related_to	683
HGNC	GO	biolink:actively_involved_in	39884
ClinVarVariant	Orphanet	biolink:related_to	2193
NCIT	Orphanet	biolink:subclass_of	4801
IAO	OIO	biolink:type	1
ClinVarVariant	UMLS	biolink:gene_associated_with_condition	55137
UBERON	PR	biolink:produces	5
Coriell	HGNC	biolink:model_of	741
IAO	owl	biolink:type	2
dbSNP	https	biolink:biomarker_for	94336
OBI	OBO	biolink:related_to	6
DOID	MONDO	biolink:subclass_of	26067
UMLS	OBI	biolink:subclass_of	18
DOID	BFO	biolink:subclass_of	1
foaf	foaf	biolink:inverseOf	4
HP	OBO	biolink:subclass_of	185
WBPhenotype	MP	biolink:subclass_of	192
dictyBase	UniProtKB	biolink:has_gene_product	332
FBcv	HP	biolink:subclass_of	25
NCBIGene	HGNC	biolink:same_as	1881
NCBIGene	MGI	biolink:related_to	14473
chickenQTL	MONARCH_BNODE	biolink:has_sequence_location	16494
MONARCH	OMIM	biolink:related_to	1
Orphanet	MONDO	biolink:subclass_of	28520
NCBIGene	chickenQTL	biolink:biomarker_for	1
FlyBase	dictyBase	biolink:orthologous_to	5816
Orphanet	BFO	biolink:subclass_of	1
SEPIO	SEPIO	biolink:has_output	1
http	http	biolink:subclass_of	28707
OBO	OIO	biolink:subclass_of	11
FlyBase	SGD	biolink:orthologous_to	2518
OBI	IAO	biolink:subclass_of	23
ZFIN	MONARCH_BNODE	biolink:related_to	63616
OBO	owl	biolink:subclass_of	1378
CLO	GENO	biolink:subclass_of	1
https	OIO	biolink:subclass_of	7
https	AQTLTrait	biolink:biomarker_for	121393
UBERON	UBERON	biolink:related_to	6521
GO	GO	biolink:affects_localization_of	6
PW	PW	biolink:subclass_of	3117
PomBase	GO	biolink:part_of	16735
UMLS	NCIT	biolink:subclass_of	14968
ZFIN	NCBIGene	biolink:interacts_with	575
ZFIN	MONARCH_BNODE	biolink:has_sequence_location	18712
pigQTL	NCBIGene	biolink:related_to	662
GO	CL	biolink:has_input	69
SIO	BFO	biolink:subclass_of	1
MGI	GO	biolink:has_phenotype	23069
GENO	IAO	biolink:inverseOf	1
NCIT	OBO	biolink:subclass_of	15152
HGNC	ENSEMBL	biolink:related_to	160551
ClinVarVariant	MONDO	biolink:gene_associated_with_condition	19155
BIOGRID	Orphanet	biolink:biomarker_for	1
SGD	APO	biolink:has_phenotype	8507
GO	UBERON	biolink:subclass_of	1
Coriell	MONARCH_BNODE	biolink:derives_from	30624
GO	GO	biolink:has_input	123
ENVO	ENVO	biolink:has_participant	10
MGI	MONARCH_BNODE	biolink:related_to	494740
KEGG-path	PW	biolink:subclass_of	537
RO	OBO	biolink:subPropertyOf	1
OMIA	OBO	biolink:has_phenotype	35
RGD	dictyBase	biolink:related_to	3223
MONDO	CL	biolink:related_to	126
HGNC	http	biolink:orthologous_to	966
ENVO	RO	biolink:subclass_of	1
WormBase	EcoGene	biolink:orthologous_to	847
RGD	SGD	biolink:related_to	2352
PANTHER	ENSEMBL	biolink:related_to	195305
ZFIN	MONARCH_BNODE	biolink:has_part	5909
WormBase	MONARCH_BNODE	biolink:has_sequence_location	973977
NCBIGene	NCBIGene	biolink:orthologous_to	26
UBERON	CHEBI	biolink:related_to	12
MONDO	GO	biolink:related_to	467
SEPIO	BFO	biolink:subclass_of	7
GO	BFO	biolink:subclass_of	3
foaf	owl	biolink:subclass_of	6
SEPIO	CHEBI	biolink:subclass_of	3
SO	owl	biolink:subclass_of	242
GO	PO	biolink:part_of	9
RGD	WormBase	biolink:related_to	4685
ENSEMBL	SO	biolink:subclass_of	5384
ZFIN	GO	biolink:enables	53364
OBI	OBI	biolink:related_to	227
SIO	IAO	biolink:subclass_of	1
http	MP	biolink:subclass_of	13
ENSEMBL	ENSEMBL	biolink:related_to	530874
NCBIGene	ZFIN	biolink:related_to	8456
NCBIGene	GO	biolink:actively_involved_in	129041
IAO	OBO	biolink:related_to	3
CoriellCollection	CoriellCollection	biolink:related_to	4
ENSEMBL	http	biolink:orthologous_to	890
NCBITaxon	owl	biolink:subclass_of	148
MONARCH_BNODE	AQTLTrait	biolink:has_phenotype	1815
BFO	OIO	biolink:subclass_of	1
BFO	owl	biolink:subclass_of	1
ENVO	CHEBI	biolink:has_part	3
NCBIGene	HGNC	biolink:related_to	7414
MGI	ENSEMBL	biolink:orthologous_to	133358
MMRRC	MONARCH_BNODE	biolink:related_to	50892
RO	RO	biolink:subclass_of	2
sheepQTL	sheepQTL	biolink:biomarker_for	3411
HP	FBcv	biolink:subclass_of	82
MONDO	Orphanet	biolink:subclass_of	28521
ClinVarVariant	NCBIGene	biolink:related_to	79
NCBIGene	OMIM	biolink:contributes_to	11
PO	PO	biolink:subclass_of	287
http	wgs	biolink:subclass_of	2
dbSNP	ENSEMBL	biolink:related_to	51185
UBERON	NCBITaxon	biolink:related_to	749
CL	OBI	biolink:related_to	1
ClinVarVariant	OMIMPS	biolink:related_to	19963
GO	CL	biolink:has_participant	28
IAO	IAO	biolink:has_part	28
SEPIO	IAO	biolink:subclass_of	10
HP	NCIT	biolink:subclass_of	6
PO	OBO	biolink:subclass_of	2
NCBIGene	RGD	biolink:related_to	8918
NCIT	OBI	biolink:subclass_of	6
Coriell	CL	biolink:derives_from	30505
GO	GO	biolink:has_participant	65
MP	UMLS	biolink:subclass_of	3
UBERON	OBO	biolink:capable_of	2
GO	NCBITaxon	biolink:subclass_of	2
CL	UBERON	biolink:located_in	13
UBERON	ENVO	biolink:subclass_of	1
FlyBase	GO	biolink:actively_involved_in	42834
WormBase	MGI	biolink:interacts_with	2
CoriellCollection	Coriell	biolink:related_to	30624
NCBIGene	FlyBase	biolink:genetically_interacts_with	16
ZFIN	GO	biolink:part_of	46379
http	prov	biolink:subclass_of	2
ZFIN	dictyBase	biolink:related_to	3209
CL	CL	biolink:subclass_of	4930
MP	UBERON	biolink:subclass_of	2017
MONDO	OBO	biolink:subclass_of	60187
ZFIN	SGD	biolink:related_to	2379
NCIT	NCIT	biolink:subclass_of	9372
RGD	FlyBase	biolink:related_to	5488
prov	SEPIO	biolink:related_to	1
OMIM	OBO	biolink:related_to	48
CL	GO	biolink:subclass_of	44
OBO	PO	biolink:has_part	1
OBO	HP	biolink:subclass_of	38
MONARCH	MONARCH_BNODE	biolink:related_to	5
HGNC	PomBase	biolink:orthologous_to	3419
NCBIGene	BIOGRID	biolink:related_to	1093
IAO	OBI	biolink:related_to	7
MGI	dictyBase	biolink:related_to	3358
REACT	GO	biolink:subclass_of	15909
ZFIN	WormBase	biolink:related_to	4682
Xenbase	ZFIN	biolink:orthologous_to	6756
MP	MONDO	biolink:subclass_of	3
MGI	MONARCH_BNODE	biolink:has_sequence_location	297818
MGI	JAX	biolink:same_as	12
GO	GO	biolink:affects	6013
MGI	SGD	biolink:related_to	2452
OBO	OBO	biolink:has_part	12
ENSEMBL	CL	biolink:expressed_in	2195
horseQTL	AQTLTrait	biolink:biomarker_for	1562
foaf	SEPIO	biolink:related_to	2
ENVO	PO	biolink:derives_from	1
PomBase	GO	biolink:actively_involved_in	13919
faldo	GENO	biolink:subclass_of	1
PR	MGI	biolink:related_to	198
BSPO	BSPO	biolink:overlaps	75
ENSEMBL	PomBase	biolink:orthologous_to	18699
UBERON	UBERON	biolink:part_of	9960
MGI	WormBase	biolink:related_to	4875
rainbow_troutQTL	HGNC	biolink:related_to	2
GO	GO	biolink:capable_of	511
MGI	JAX	biolink:related_to	22008
STATO	STATO	biolink:subclass_of	21
BSPO	BSPO	biolink:inverseOf	9
ENVO	WD_Entity	biolink:related_to	1
dbSNPIndividual	MONARCH_BNODE	biolink:related_to	3045
FlyBase	EcoGene	biolink:related_to	251
CLO	CL	biolink:derives_from	1
ZP	MP	biolink:subclass_of	6191
UBERON	owl	biolink:subclass_of	1507
WormBase	HGNC	biolink:interacts_with	8
RGD	GO	biolink:has_phenotype	2
ZFIN	MGI	biolink:interacts_with	1
OMIM	NCBIGene	biolink:related_to	24
UMLS	owl	biolink:subclass_of	15
NCBIGene	CL	biolink:expressed_in	256
RGD	OBO	biolink:related_to	43897
MONDO	OBI	biolink:subclass_of	32
GENO	GENO	biolink:subclass_of	183
BSPO	BSPO	biolink:coexists_with	33
CHEBI	PR	biolink:subclass_of	6
PW	owl	biolink:subclass_of	106
UCSC	MONARCH_NODE	biolink:related_to	329
VGNC	ZFIN	biolink:related_to	7
FAO	owl	biolink:subclass_of	1
FBcv	BFO	biolink:subclass_of	2
ZFIN	FlyBase	biolink:related_to	5497
AQTLTrait	OBO	biolink:subclass_of	228
IAO	OIO	biolink:subPropertyOf	4
OMIA	DOID	biolink:subclass_of	8
NCBIGene	MGI	biolink:orthologous_to	102
OBO	OMIM	biolink:related_to	48
MONARCH	GO	biolink:related_to	5
ZFIN	UBERON	biolink:expressed_in	167509
GO	OBO	biolink:has_input	64
OBAN	OBAN	biolink:inverseOf	2
PR	ZFIN	biolink:related_to	15
HGNC	http	biolink:related_to	156
RGD	EcoGene	biolink:orthologous_to	965
MONDO	PO	biolink:related_to	1
MONDO	NCIT	biolink:subclass_of	25596
ENVO	ENVO	biolink:occurs_in	3
FlyBase	NCBITaxon	biolink:related_to	7
MONARCH_NODE	ZFIN	biolink:related_to	9372
MGI	FlyBase	biolink:related_to	5747
UBERON	UBERON	biolink:has_part	371
*non-standard CURIE*	OBO	owl:someValuesFrom	2914
MONDO	OBO	biolink:related_to	351
OBI	DOID	biolink:subclass_of	1
PANTHER	http	biolink:related_to	435
UBERON	NCBITaxon	biolink:part_of	4
http	CLO	biolink:subclass_of	10
OGMS	MONDO	biolink:subclass_of	1
OBO	UBERON	biolink:derives_from	3
OGMS	BFO	biolink:subclass_of	3
*non-standard CURIE*	GENO	owl:onProperty	1
ZFIN	http	biolink:orthologous_to	1192
WormBase	dictyBase	biolink:related_to	2831
PO	PO	biolink:related_to	61
ZFIN	ZFIN	biolink:interacts_with	31398
WormBase	SGD	biolink:related_to	2181
HGNC	Xenbase	biolink:orthologous_to	3806
*non-standard CURIE*	RO	owl:onProperty	2932
FlyBase	HGNC	biolink:same_as	2
ClinVarVariant	NCBIGene	biolink:has_part	2
RGD	NCBIGene	biolink:related_to	399
STATO	IAO	biolink:subclass_of	2
ENSEMBL	http	biolink:related_to	149
ZFIN	HGNC	biolink:interacts_with	2
DOID	DOID	biolink:subclass_of	10473
GO	UBERON	biolink:occurs_in	88
PO	PO	biolink:part_of	129
PR	BFO	biolink:subclass_of	2
UBERON	CHEBI	biolink:has_part	20
PMID	dbSNP	biolink:related_to	36936
ENSEMBL	VGNC	biolink:orthologous_to	4
HP	owl	biolink:subclass_of	275
DOID	OGMS	biolink:subclass_of	8
ClinVarVariant	ORPHA	biolink:gene_associated_with_condition	4
NCBIGene	ENSEMBL	biolink:has_gene_product	2466
UBERON	GO	biolink:located_in	1
WBPhenotype	WBPhenotype	biolink:subclass_of	3270
WD_Entity	WD_Entity	biolink:part_of	1
WormBase	WormBase	biolink:related_to	67569
PR	CHEBI	biolink:subclass_of	341
MGI	http	biolink:orthologous_to	994
GO	PO	biolink:has_participant	4
Orphanet	DOID	biolink:subclass_of	6294
HGNC	ENSEMBL	biolink:has_gene_product	74428
ENSEMBL	Xenbase	biolink:orthologous_to	41611
NCBIGene	ZFIN	biolink:orthologous_to	417
ENSEMBL	UniProtKB	biolink:has_gene_product	3618
ZFIN	OBO	biolink:related_to	13888
Orphanet	OGMS	biolink:subclass_of	5
JAX	MGI	biolink:related_to	97
GO	PR	biolink:related_to	64
OMIA	MESH	biolink:subclass_of	47
NCBIGene	HGNC	biolink:orthologous_to	5
PomBase	GO	biolink:has_phenotype	3
pigQTL	MONARCH_BNODE	biolink:has_sequence_location	31509
HP	UPHENO	biolink:subclass_of	2
OBO	BFO	biolink:subPropertyOf	3
OBI	http	biolink:subclass_of	1
SO	GENO	biolink:part_of	1
MONARCH_BNODE	http	biolink:related_to	11747
SO	GENO	biolink:related_to	4
NCIT	owl	biolink:subclass_of	23
MGI	EMMA	biolink:related_to	1186
MGI	OBO	biolink:related_to	37098
MONARCH_BNODE	MP	biolink:has_phenotype	5801
GO	GO	biolink:has_part	845
ENVO	OBO	biolink:subclass_of	16
OBO	UMLS	biolink:subclass_of	28724
KEGG-path	http	biolink:related_to	537
MONARCH_BNODE	https	biolink:has_part	26470
MGI	FlyBase	biolink:interacts_with	5
RO	OIO	biolink:subPropertyOf	1
OBAN	IAO	biolink:subPropertyOf	3
OBO	STATO	biolink:subclass_of	2
UCSC	SO	biolink:subclass_of	10
RO	owl	biolink:subPropertyOf	6
UMLS	HP	biolink:subclass_of	19
BIOGRID	ENSEMBL	biolink:same_as	21
NCBIGene	RGD	biolink:orthologous_to	53
CL	OBO	biolink:has_attribute	70
MONARCH_BNODE	KEGG-path	biolink:actively_involved_in	81602
NCBIGene	https	biolink:biomarker_for	15739
Xenbase	SGD	biolink:related_to	2088
DOID	http	biolink:subclass_of	12794
HGNC	PomBase	biolink:related_to	2546
CL	OBO	biolink:subclass_of	49
OMIM	OMIMPS	biolink:subclass_of	3809
CHEBI	CHEBI	biolink:related_to	80286
OBO	UBERON	biolink:subclass_of	13717
ClinVarVariant	HGNC	biolink:related_to	23093
ECO	ECO	biolink:related_to	1104
OMIA	MP	biolink:subclass_of	32
OBO	OBO	biolink:overlaps	1473
Orphanet	http	biolink:subclass_of	8031
RO	UPHENO	biolink:subPropertyOf	3
OIO	owl	biolink:subclass_of	1
PANTHER	PomBase	biolink:related_to	3209
HP	ZP	biolink:subclass_of	376
GENO	GENO	biolink:related_to	43
WormBase	FlyBase	biolink:related_to	4666
Xenbase	WormBase	biolink:related_to	4052
IAO	IAO	biolink:part_of	2
PMID	Xenbase	biolink:related_to	18617
ZFIN	NCBIGene	biolink:related_to	6
MONDO	NCIT	biolink:related_to	39
OGMS	OGMS	biolink:related_to	1
ZFIN	PomBase	biolink:orthologous_to	3853
OBO	SO	biolink:subclass_of	2395
OBO	MONDO	biolink:subclass_of	60760
OBO	BFO	biolink:subclass_of	50
ENSEMBL	OBO	biolink:expressed_in	6202
OBI	OBI	biolink:inverseOf	4
OBO	MONARCH_BNODE	biolink:related_to	233
https	SO	biolink:subclass_of	3867
BSPO	BFO	biolink:subPropertyOf	12
MONARCH_BNODE	STATO	biolink:has_part	26306
PR	CHEBI	biolink:derives_from	1
OBO	CHEBI	biolink:subclass_of	5
FlyBase	SO	biolink:subclass_of	39259
RGD	ENSEMBL	biolink:orthologous_to	86014
ENSEMBL	PomBase	biolink:related_to	11443
CLO	OBI	biolink:subclass_of	1
MGI	NCBIGene	biolink:related_to	533
MONARCH	Orphanet	biolink:related_to	5
SGD	GO	biolink:actively_involved_in	26956
MONARCH_BNODE	http	biolink:part_of	23551
pav	dcterms	biolink:subPropertyOf	4
IAO	IAO	biolink:type	17
OBO	OBO	biolink:affects	8924
ENVO	ENVO	biolink:derives_from	9
MGI	PomBase	biolink:orthologous_to	3470
WormBase	http	biolink:orthologous_to	635
PO	owl	biolink:subclass_of	1
DOID	MP	biolink:subclass_of	10
MONARCH_NODE	MONARCH_NODE	biolink:related_to	25825
ClinVarVariant	ClinVarVariant	biolink:related_to	1060
ENVO	OBI	biolink:subclass_of	2
PMID	OMIM	biolink:related_to	4935
NCBIGene	EcoGene	biolink:related_to	1
MGI	REACT	biolink:actively_involved_in	12605
Orphanet	MP	biolink:subclass_of	4
rainbow_troutQTL	MONARCH_BNODE	biolink:has_sequence_location	584
HP	HP	biolink:subclass_of	20506
OBO	IAO	biolink:subclass_of	8
SO	SO	biolink:subclass_of	2438
WormBase	DOID	biolink:model_of	10575
foaf	BFO	biolink:subclass_of	2
KEGG-hsa	NCBIGene	biolink:same_as	1
NCBIGene	OBO	biolink:expressed_in	124
ENSEMBL	REACT	biolink:actively_involved_in	834505
CL	OBI	biolink:subclass_of	1
SO	BFO	biolink:subclass_of	1
ECO	ECO	biolink:inverseOf	1
OBO	NCBITaxon	biolink:subclass_of	3
WBPhenotype	CL	biolink:subclass_of	33
MONDO	owl	biolink:subclass_of	1937
UBERON	PR	biolink:related_to	1
GENO	SO	biolink:part_of	4
WormBase	WormBase	biolink:genetically_interacts_with	531
SO	CHEBI	biolink:subclass_of	43
https	GO	biolink:has_phenotype	2
Xenbase	FlyBase	biolink:related_to	4722
OBI	prov	biolink:subclass_of	1
WormBase	OBO	biolink:related_to	10459
faldo	faldo	biolink:inverseOf	2
WBPhenotype	GO	biolink:subclass_of	274
BFO	BFO	biolink:subclass_of	34
dcterms	owl	biolink:subclass_of	1
PMID	GeneReviews	biolink:related_to	31280
REACT	PW	biolink:subclass_of	15909
BFO	CHEBI	biolink:subclass_of	1
MP	DOID	biolink:subclass_of	2
HGNC	UBERON	biolink:expressed_in	448167
NCIT	HP	biolink:subclass_of	13
OBI	CHEBI	biolink:has_part	1
UBERON	UBERON	biolink:affects	8338
dbSNP	dbSNP	biolink:related_to	1470
HGNC	VGNC	biolink:related_to	8
OBAN	SEPIO	biolink:subclass_of	1
OBO	GO	biolink:part_of	1
pigQTL	AQTLTrait	biolink:biomarker_for	14461
OBO	GO	biolink:related_to	45
http	MONARCH_NODE	biolink:related_to	142
OMIM	HGNC	biolink:related_to	3018
PR	PR	biolink:part_of	1
OMIA	HP	biolink:has_phenotype	260
KEGG-hsa	SO	biolink:subclass_of	1
MONDO	ENVO	biolink:related_to	14
MGI	NCBIGene	biolink:interacts_with	9
HGNC	Xenbase	biolink:related_to	10686
MONARCH_BNODE	dbSNP	biolink:related_to	7199
PANTHER	VGNC	biolink:related_to	8
GO	GO	biolink:increases_degradation_of	8
BFO	RO	biolink:subPropertyOf	4
dictyBase	GO	biolink:enables	20904
MGI	ENSEMBL	biolink:has_gene_product	26800
prov	BFO	biolink:subclass_of	2
NCBITaxon	NCBITaxon	biolink:subclass_of	14540
PANTHER	Xenbase	biolink:related_to	11866
CLO	OBI	biolink:derives_from	1
ENVO	CHEBI	biolink:has_participant	1
PR	https	biolink:related_to	206
ZP	WBPhenotype	biolink:subclass_of	2937
HGNC	SO	biolink:subclass_of	60204
ENSEMBL	VGNC	biolink:related_to	16
ENSEMBL	ENSEMBL	biolink:interacts_with	305485
MONARCH_NODE	https	biolink:related_to	24
WormBase	NCBIGene	biolink:related_to	40
MGI	SO	biolink:subclass_of	108997
ClinVarVariant	NCBIGene	biolink:part_of	28122
WormBase	PomBase	biolink:orthologous_to	2147
ZFIN	ENSEMBL	biolink:has_gene_product	23456
GENO	OBO	biolink:subclass_of	1
Xenbase	OBO	biolink:related_to	15731
ENSEMBL	Xenbase	biolink:related_to	103605
MP	http	biolink:subclass_of	3
prov	BFO	biolink:has_participant	1
HGNC	OMIM	biolink:related_to	3746
foaf	foaf	biolink:subclass_of	8
UMLS	UMLS	biolink:subclass_of	23397
ECO	BFO	biolink:related_to	1
AQTLTrait	owl	biolink:subclass_of	1
MGI	Xenbase	biolink:orthologous_to	5098
MGI	DOID	biolink:model_of	8320
RGD	ZFIN	biolink:related_to	11501
SEPIO	prov	biolink:subclass_of	1
CL	CHEBI	biolink:has_part	1
MONARCH_NODE	UPHENO	biolink:subclass_of	627
MONARCH_NODE	UCSC	biolink:related_to	329
UBERON	UBERON	biolink:subclass_of	37688
PomBase	GO	biolink:enables	11217
ClinVarVariant	HGNC	biolink:has_part	21
OBO	AQTLTrait	biolink:subclass_of	221
ENVO	ENVO	biolink:subclass_of	355
MONARCH_BNODE	OMIM	biolink:has_phenotype	11482
owl	owl	biolink:subclass_of	1
MPD-strain	JAX	biolink:same_as	274
MGI	MGI	biolink:same_as	8
GO	GO	biolink:has_output	14
ZP	GENO	biolink:subclass_of	5
faldo	GENO	biolink:subPropertyOf	4
FlyBase	http	biolink:related_to	139
OBO	OBO	biolink:expresses	198
